File Processed: TheOdyssey.txt

Total Words Processed: 117219
Total Different Words: 8839

WORD                  FREQUENCY     FREQ %

a                     1567           1.337
abandon                  6           0.005
abash                    5           0.004
abate                    1           0.001
abhorr                   3           0.003
abhors                   2           0.002
abides                   2           0.002
abjured                  1           0.001
ablution                 1           0.001
aboard                   8           0.007
abode                    4           0.003
abodes                  17           0.015
abound                   1           0.001
about                    9           0.008
above                   75           0.064
abroad                   2           0.002
abrupt                   2           0.002
absence                 11           0.009
absent                  29           0.025
absolute                 2           0.002
absolved                 1           0.001
absolves                 1           0.001
absorb                   4           0.003
absorbs                  1           0.001
abstain                  1           0.001
abstersive               1           0.001
abstracts                1           0.001
abundance                2           0.002
abundant                 2           0.002
abuse                    2           0.002
abyss                    2           0.002
acastus                  1           0.001
accent                   4           0.003
accents                  6           0.005
accept                   9           0.008
accepted                 5           0.004
accepting                1           0.001
accepts                  4           0.003
access                   6           0.005
accesses                 1           0.001
accident                 1           0.001
acclaim                  1           0.001
acclaiming               2           0.002
accord                   5           0.004
accords                  1           0.001
accost                   3           0.003
accosts                  4           0.003
account                  2           0.002
accursed                 7           0.006
achaian                  3           0.003
achaians                 1           0.001
acheron                  1           0.001
achieve                  1           0.001
achieved                 2           0.002
achilles                15           0.013
aching                   1           0.001
acknowledge              1           0.001
acknowledged             1           0.001
acknowledges             1           0.001
acorn                    1           0.001
acquaints                1           0.001
acquire                  1           0.001
acquired                 1           0.001
acquits                  1           0.001
acres                    3           0.003
acroneus                 1           0.001
across                   7           0.006
act                     15           0.013
action                   2           0.002
actions                  4           0.003
active                   7           0.006
actoris                  1           0.001
acts                     9           0.008
adamant                  2           0.002
adamantine               2           0.002
adapts                   1           0.001
add                      6           0.005
added                   13           0.011
adding                   1           0.001
addition                 1           0.001
additional               4           0.003
additions                2           0.002
address                 53           0.045
addressed                3           0.003
addresses                2           0.002
addressing               3           0.003
adds                     3           0.003
adherent                 1           0.001
adieu                    3           0.003
adjoin                   1           0.001
adjoining                1           0.001
adjoins                  2           0.002
adjourn                  1           0.001
adjusting                1           0.001
admiration               3           0.003
admire                   7           0.006
admired                  5           0.004
admires                  4           0.003
admiring                 1           0.001
admit                    1           0.001
admits                   1           0.001
admitted                 1           0.001
admonish                 2           0.002
adopted                  4           0.003
adore                    3           0.003
adored                   6           0.005
adores                   1           0.001
adoring                  1           0.001
adorn                   21           0.018
adorned                  1           0.001
adorns                   5           0.004
adown                    1           0.001
adraste                  1           0.001
adriadne                 1           0.001
adulterer                1           0.001
adulterers               1           0.001
adulterous               4           0.003
advance                  7           0.006
advanced                10           0.009
advances                 2           0.002
advancing                6           0.005
advantage                1           0.001
adventure                4           0.003
adventures               6           0.005
adventurous              2           0.002
adverse                 13           0.011
advice                   4           0.003
advices                  1           0.001
advise                   5           0.004
advised                  1           0.001
advises                  2           0.002
advocates                1           0.001
aeaean                   2           0.002
aeaetes                  1           0.001
aegae                    1           0.001
aegis                    1           0.001
aegypt                   1           0.001
aegyptian                3           0.003
aegyptius                3           0.003
aegysthus               13           0.011
aeolian                  1           0.001
aeolias                  1           0.001
aeolus                   5           0.004
aerial                  20           0.017
aeson                    1           0.001
aethiopia                3           0.003
aethiopian               1           0.001
aethon                   1           0.001
aetolian                 1           0.001
afar                     1           0.001
affable                  5           0.004
affairs                  3           0.003
affect                   3           0.003
affection                3           0.003
affianced                5           0.004
affirm                   1           0.001
affirms                  1           0.001
affix                    1           0.001
afflict                  1           0.001
afflicted                4           0.003
affliction               5           0.004
afflictive               3           0.003
afflicts                 2           0.002
affluence                3           0.003
affluent                 1           0.001
afford                  15           0.013
affords                  8           0.007
affright                 2           0.002
affrighted               1           0.001
affrights                1           0.001
affronts                 1           0.001
afraid                   1           0.001
afresh                   2           0.002
after                   18           0.015
afterwards               1           0.001
again                   40           0.034
against                 36           0.031
agamemnon                8           0.007
age                     78           0.067
aged                     8           0.007
agelaus                  6           0.005
agents                   1           0.001
ages                     8           0.007
aggravate                1           0.001
aggressor                2           0.002
aghast                   7           0.006
ago                      2           0.002
agonies                  3           0.003
agonizing                2           0.002
agree                    4           0.003
ah                      39           0.033
aid                     46           0.039
aided                    1           0.001
aiding                   2           0.002
aids                     3           0.003
aim                     13           0.011
aiming                   1           0.001
aims                     6           0.005
air                    107           0.091
airs                     8           0.007
airy                    12           0.010
ajax                     6           0.005
alabama                  1           0.001
alarm                    4           0.003
alarms                   9           0.008
alas                    26           0.022
alaska                   1           0.001
alcandra                 2           0.002
alcides                  2           0.002
alcinous                39           0.033
alcippe                  1           0.001
alcmena                  1           0.001
alcove                   3           0.003
alders                   3           0.003
alector                  1           0.001
alemena                  1           0.001
alexander                1           0.001
alike                   11           0.009
alive                    8           0.007
all                    596           0.508
allay                    2           0.002
alliance                 1           0.001
allied                   2           0.002
allotted                 4           0.003
allow                    5           0.004
allows                   7           0.006
allure                   4           0.003
allured                  1           0.001
almighty                 8           0.007
almost                   3           0.003
alms                     1           0.001
aloft                   11           0.009
alone                   93           0.079
along                   80           0.068
aloof                    2           0.002
aloud                   19           0.016
alpheus                  2           0.002
already                 26           0.022
also                     3           0.003
altar                    4           0.003
altars                  16           0.014
alter                    3           0.003
alteration               1           0.001
alternate               15           0.013
alternatively            2           0.002
although                 1           0.001
always                   4           0.003
alybas                   1           0.001
am                      24           0.020
amain                    3           0.003
amassing                 1           0.001
amaze                    4           0.003
amazed                   7           0.006
amazement                2           0.002
amazing                  4           0.003
ambasineus               1           0.001
amber                    3           0.003
ambient                  1           0.001
ambiguous                1           0.001
ambition                 2           0.002
ambitious                2           0.002
ambrosia                 1           0.001
ambrosial               10           0.009
ambush                  19           0.016
amid                    18           0.015
amidst                  18           0.015
amity                    1           0.001
amnisus                  1           0.001
among                   16           0.014
amongst                  1           0.001
amorous                  6           0.005
amour                    1           0.001
amphialus                2           0.002
amphiaraus               2           0.002
amphimedon               5           0.004
amphinomos               1           0.001
amphinomus               5           0.004
amphion                  2           0.002
amphitea                 1           0.001
amphitrite               1           0.001
ample                   31           0.026
ampler                   1           0.001
amuse                    1           0.001
amythaon                 1           0.001
an                     147           0.125
analyzed                 1           0.001
ancestry                 1           0.001
anchialus                2           0.002
anchor                  12           0.010
anchors                  6           0.005
ancient                 21           0.018
and                   3994           3.407
andraemon                1           0.001
anew                     3           0.003
angel                    1           0.001
anger                   12           0.010
angles                   1           0.001
angry                   10           0.009
anguish                  9           0.008
animate                  1           0.001
animated                 1           0.001
animates                 1           0.001
animating                2           0.002
announcement             4           0.003
annoy                    1           0.001
annual                   7           0.006
anointed                 1           0.001
anon                     1           0.001
another                 25           0.021
answer                  16           0.014
answered                 2           0.002
answers                  2           0.002
anticlea                 5           0.004
anticles                 1           0.001
anticlus                 1           0.001
antidote                 1           0.001
antilochus               3           0.003
antinous                39           0.033
antiope                  1           0.001
antiphates               2           0.002
antiphus                 2           0.002
anvil                    2           0.002
anxious                 20           0.017
any                     30           0.026
anything                 1           0.001
apace                    2           0.002
apart                   15           0.013
apartments               1           0.001
aphidas                  1           0.001
apollo                  12           0.010
appall                   3           0.003
apparent                 1           0.001
apparition               2           0.002
appeal                   2           0.002
appealing                1           0.001
appear                  36           0.031
appeared                 1           0.001
appearing                4           0.003
appears                 22           0.019
appease                  3           0.003
appeased                 2           0.002
appetites                1           0.001
applaud                  1           0.001
applauding               2           0.002
applause                 3           0.003
applauses                2           0.002
apple                    1           0.001
apples                   4           0.003
applicable               1           0.001
applied                  7           0.006
applies                  2           0.002
apply                    4           0.003
appointed                3           0.003
appoints                 1           0.001
apprised                 1           0.001
approach                27           0.023
approaches               1           0.001
approaching             13           0.011
approbation              1           0.001
approve                  6           0.005
approved                 6           0.005
approves                 2           0.002
arabian                  1           0.001
arable                   1           0.001
arbiters                 1           0.001
arbitrary                1           0.001
arcesian                 2           0.002
arcesius                 3           0.003
arch                     3           0.003
archer                   4           0.003
archers                  1           0.001
arches                   1           0.001
arching                  4           0.003
architrave               1           0.001
archive                  5           0.004
ardent                   9           0.008
ardour                   3           0.003
ardours                  2           0.002
arduous                  1           0.001
are                    188           0.160
areas                    1           0.001
arete                   10           0.009
arethusa                 1           0.001
aretus                   2           0.002
argive                   5           0.004
argives                  1           0.001
argo                     2           0.002
argos                    6           0.005
argument                23           0.020
arguments                1           0.001
argus                    6           0.005
ariadne                  1           0.001
aright                   1           0.001
arise                   39           0.033
arising                  3           0.003
arkansas                 1           0.001
arm                     52           0.044
armed                    1           0.001
armies                   1           0.001
arming                   1           0.001
armour                   4           0.003
armourers                1           0.001
armoury                  1           0.001
arms                   135           0.115
army                     1           0.001
arnaeus                  1           0.001
aromatic                 1           0.001
arose                   11           0.009
around                  87           0.074
arraigning               1           0.001
arrange                  1           0.001
array                   13           0.011
arrayed                  1           0.001
arrear                   1           0.001
arrests                  1           0.001
arriv                    1           0.001
arrival                  6           0.005
arrive                   3           0.003
arrived                 18           0.015
arrives                 10           0.009
arrivest                 2           0.002
arriving                 5           0.004
arrogance                2           0.002
arrow                   15           0.013
arrows                   6           0.005
art                     80           0.068
artacia                  2           0.002
artful                   9           0.008
artifice                 1           0.001
artificial               1           0.001
artist                   5           0.004
arts                    26           0.022
arybas                   1           0.001
as                     373           0.318
ascend                  17           0.015
ascending                4           0.003
ascends                 19           0.016
ascent                   3           0.003
ascii                    2           0.002
ascribe                  1           0.001
ascribed                 1           0.001
ashamed                  1           0.001
ashes                    6           0.005
ashore                   3           0.003
aside                    8           0.007
ask                     26           0.022
askance                  2           0.002
asks                     5           0.004
asleep                   2           0.002
aslope                   1           0.001
aspect                   4           0.003
asphalion                1           0.001
asphodel                 1           0.001
aspire                   5           0.004
aspired                  2           0.002
aspires                  4           0.003
