File Processed: p.txt

Total Words Processed: 77258
Total Different Words: 5406

WORD                  FREQUENCY     FREQ %

a                     1170           1.514
abbreviations            3           0.004
abdomen                  1           0.001
abdominal                6           0.008
aberrations              1           0.001
abilities                4           0.005
ability                 20           0.026
able                     6           0.008
abnormal                 1           0.001
abnormality              1           0.001
about                    9           0.012
above                    2           0.003
abrasive                 1           0.001
abroad                   5           0.006
absolutism               1           0.001
absorption               3           0.004
abstracting              1           0.001
abstraction              1           0.001
abuse                    7           0.009
abusers                  2           0.003
abusing                  1           0.001
ac                       9           0.012
academic               106           0.137
academically             3           0.004
academy                  1           0.001
accelerated              1           0.001
acceleration             1           0.001
accelerometer            2           0.003
acceptable               3           0.004
acceptance              33           0.043
accepted                16           0.021
access                  14           0.018
accessibility            1           0.001
accessible               1           0.001
accessing                2           0.003
accessories              1           0.001
accessory                1           0.001
accident                 1           0.001
acclimatization          1           0.001
accommodations           1           0.001
accompanied              1           0.001
accomplished             3           0.004
accomplishment           1           0.001
according                1           0.001
accountability           1           0.001
accounting              35           0.045
accounts                 2           0.003
accreditation            1           0.001
accredited               2           0.003
accuracy                 9           0.012
accurate                 7           0.009
accurately               2           0.003
acg                     18           0.023
achieve                  1           0.001
achieved                 3           0.004
achievement              1           0.001
acoustic                 1           0.001
acoustical               4           0.005
acoustics                4           0.005
acquaint                 2           0.003
acquaints                5           0.006
acquire                  3           0.004
acquired                 5           0.006
acquiring                3           0.004
acquisition              5           0.006
across                   3           0.004
act                      4           0.005
acting                  10           0.013
action                   6           0.008
actionscript             3           0.004
active                   9           0.012
activities              65           0.084
activity                28           0.036
actor                    4           0.005
actors                   2           0.003
actual                   1           0.001
actuators                1           0.001
acute                    5           0.006
adagio                   2           0.003
adapted                  4           0.005
adapts                   1           0.001
add                      3           0.004
added                    1           0.001
addiction                1           0.001
addictions               1           0.001
addition                71           0.092
additional              25           0.032
additionally             5           0.006
address                  3           0.004
addressed                3           0.004
addresses                8           0.010
addressing               2           0.003
adequate                 2           0.003
adequately               1           0.001
adjustable               1           0.001
adjustment               5           0.006
administer               5           0.006
administering            2           0.003
administration          52           0.067
administrative          10           0.013
administrator            3           0.004
admissibility            1           0.001
admission               19           0.025
admitted                 1           0.001
adobe                    3           0.004
adolescence              2           0.003
adolescent               2           0.003
adoption                 1           0.001
adr                      2           0.003
adult                   14           0.018
adulthood                1           0.001
adults                   3           0.004
advance                  4           0.005
advanced               148           0.192
advances                 2           0.003
advantage                1           0.001
advantages               1           0.001
advent                   1           0.001
adverse                  1           0.001
advertising              9           0.012
aerial                   1           0.001
aerobic                  1           0.001
aerobics                 2           0.003
aerosol                  1           0.001
aesthetic                2           0.003
aesthetics               4           0.005
afa                      1           0.001
affect                   9           0.012
affected                 2           0.003
affecting                5           0.006
affects                  1           0.001
affidavit                1           0.001
affiliates               1           0.001
africa                   2           0.003
african                 14           0.018
after                    1           0.001
aftermath                1           0.001
age                      6           0.008
agencies                 6           0.008
agency                   2           0.003
agents                   1           0.001
ages                     5           0.006
agility                  2           0.003
aging                    3           0.004
agricultural             3           0.004
aha                      1           0.001
ahdl                     1           0.001
aid                     10           0.013
aided                    5           0.006
aids                     6           0.008
aims                     1           0.001
air                      4           0.005
airbrushing              1           0.001
aircraft                 1           0.001
airway                   4           0.005
airways                  1           0.001
album                    1           0.001
alcohol                  1           0.001
alcoholism               2           0.003
algebra                 31           0.040
algebraic                7           0.009
alginate                 1           0.001
algorithms               3           0.004
alignment                5           0.006
aliphatic                1           0.001
all                    144           0.186
allegro                  2           0.003
allied                   3           0.004
allocation               1           0.001
allotted                 5           0.006
allow                    2           0.003
allowances               1           0.001
allows                   8           0.010
along                   13           0.017
alpha                    1           0.001
alphabetic               3           0.004
alphabetically           1           0.001
alphabetized             1           0.001
als                      2           0.003
also                    72           0.093
altera                   1           0.001
alteration               2           0.003
alterations              9           0.012
alternative              5           0.006
alternatives             2           0.003
although                 2           0.003
am                       1           0.001
amazonia                 1           0.001
ambitions                1           0.001
america                  6           0.008
american                38           0.049
americas                 1           0.001
amh                      7           0.009
aml                      6           0.008
ammunition               3           0.004
among                    2           0.003
amplifier                2           0.003
amplifiers               4           0.005
amplitude                1           0.001
an                     259           0.335
analgesics               1           0.001
analog                   5           0.006
analyses                 2           0.003
analysis               114           0.148
